City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
294,Adre,TD,13.47,22.2,73.72,20,98,7.52,overcast clouds
295,Los Algarrobos,PA,8.5,-82.43,78.01,86,100,2.17,overcast clouds
296,Pitogo,PH,13.78,122.09,85.44,74,76,13.24,broken clouds
297,Mehamn,NO,71.04,27.85,29.7,93,0,6.93,clear sky
298,Pocone,BR,-16.26,-56.62,79.86,66,1,2.82,clear sky
299,Malishka,AM,39.74,45.39,48.2,70,40,4.7,scattered clouds
300,Richards Bay,ZA,-28.78,32.04,62.85,85,2,5.93,clear sky
301,Gravdal,NO,68.12,13.5,38.53,70,100,10.96,overcast clouds
302,Karaton,ID,-6.34,106.1,84.99,74,40,6.93,moderate rain
303,Erenhot,CN,43.65,111.98,30.24,74,0,10.16,clear sky
304,Changde,CN,29.05,111.68,63.86,73,0,3.31,clear sky
305,Fort Nelson,CA,58.81,-122.7,23.0,57,75,5.82,light snow
306,Nhulunbuy,AU,-12.23,136.77,86.0,58,75,10.29,broken clouds
307,Svetlogorsk,BY,52.63,29.73,45.91,88,100,5.32,overcast clouds
308,Biak,ID,-0.91,122.88,82.72,64,74,3.56,broken clouds
309,Sao Paulo De Olivenca,BR,-3.38,-68.87,75.87,90,90,2.42,light rain
310,Salamanca,ES,40.83,-6.0,53.01,93,90,5.82,overcast clouds
311,Ballina,AU,-28.87,153.57,68.0,88,90,4.7,light rain
312,Coquimbo,CL,-29.95,-71.34,53.6,87,0,11.41,clear sky
313,Tshane,BW,-24.02,21.87,74.91,40,1,19.08,clear sky
314,Tay Ninh,VN,11.3,106.1,78.26,82,71,6.35,broken clouds
315,Kosterevo,RU,55.93,39.61,36.07,96,100,3.87,overcast clouds
316,Richmond,US,37.55,-77.46,69.01,93,1,4.14,clear sky
317,Sasykoli,RU,47.55,47.0,46.0,89,100,4.63,light rain
318,Tooele,US,40.53,-112.3,61.0,51,1,1.59,clear sky
319,Mtimbira,TZ,-8.78,36.35,73.47,62,64,2.66,broken clouds
320,Tura,IN,25.52,90.22,71.85,94,6,3.36,clear sky
321,Iskateley,RU,67.68,53.15,24.01,95,0,7.11,clear sky
322,Marawi,PH,8.0,124.29,84.0,69,100,3.0,overcast clouds
323,Brigantine,US,39.41,-74.36,66.2,93,1,6.93,clear sky
324,Cururupu,BR,-1.83,-44.87,75.34,88,36,4.09,scattered clouds
325,Butembo,CD,0.15,29.28,57.18,99,100,2.06,overcast clouds
326,Sirhind,IN,30.65,76.38,64.83,27,0,3.62,clear sky
327,Luderitz,NA,-26.65,15.16,58.08,88,25,22.1,scattered clouds
328,Barcelos,PT,41.54,-8.62,57.2,93,20,6.93,few clouds
329,Bonthe,SL,7.53,-12.51,77.77,86,100,3.94,light rain
330,Sinegorye,RU,62.08,150.48,24.21,79,31,5.17,scattered clouds
331,Bambous Virieux,MU,-20.34,57.76,73.4,83,20,12.75,few clouds
332,Kahului,US,20.89,-156.47,91.4,36,20,11.41,few clouds
333,Navahrudak,BY,53.6,25.83,46.17,91,100,9.62,light rain
334,Garango,BF,11.8,-0.55,83.59,37,0,4.83,clear sky
335,Prieska,ZA,-29.66,22.75,62.91,26,0,7.14,clear sky
336,Makakilo City,US,21.35,-158.09,82.4,100,90,6.93,heavy intensity rain
337,Inta,RU,66.03,60.17,18.73,97,86,10.16,overcast clouds
338,Diamantino,BR,-14.41,-56.45,80.28,56,27,1.77,scattered clouds
339,Nuuk,GL,64.18,-51.72,30.2,86,84,10.29,broken clouds
340,Moussoro,TD,13.64,16.49,85.03,14,21,11.68,few clouds
341,Alice Springs,AU,-23.7,133.88,93.2,26,0,19.46,clear sky
342,Mayumba,GA,-3.43,10.66,76.8,89,100,5.79,moderate rain
343,Torzhok,RU,57.04,34.96,37.26,96,100,5.77,overcast clouds
344,Waingapu,ID,-9.66,120.26,85.14,58,0,5.88,clear sky
345,Kaspiyskiy,RU,45.39,47.37,45.61,56,100,0.74,overcast clouds
346,Kavieng,PG,-2.57,150.8,84.52,69,14,8.28,few clouds
347,Hailin,CN,44.58,129.42,41.38,63,0,5.79,clear sky
348,Grants,US,35.15,-107.85,62.6,10,1,9.17,clear sky
349,Imbituba,BR,-28.24,-48.67,71.6,94,40,13.87,scattered clouds
350,La Rioja,ES,42.25,-2.5,60.8,67,100,9.17,overcast clouds
351,Benghazi,LY,32.12,20.07,68.18,64,0,8.55,light rain
352,Inirida,CO,3.87,-67.92,76.33,93,97,2.73,overcast clouds
353,Tromso,NO,69.65,18.96,24.8,79,8,12.75,clear sky
354,Urengoy,RU,65.97,78.37,16.14,97,81,5.44,broken clouds
355,Victoria,HK,22.29,114.16,75.0,66,41,3.0,scattered clouds
356,Davila,PH,18.47,120.58,80.6,88,75,2.24,broken clouds
357,Portlethen,GB,57.05,-2.13,51.8,100,100,6.93,light rain
358,Norden,DE,53.6,7.2,57.2,82,75,12.75,broken clouds
359,Akashi,JP,34.63,134.98,70.0,60,75,17.22,broken clouds
360,Iquitos,PE,-3.75,-73.25,75.2,88,75,1.12,broken clouds
361,Airai,TL,-8.93,125.41,78.62,43,0,1.1,clear sky
362,Mahon,ES,39.89,4.27,68.0,82,89,11.41,overcast clouds
363,Fecamp,FR,49.76,0.37,55.4,87,0,10.29,clear sky
