City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
468,Pacific Grove,US,66.0,clear sky,36.62,-121.92,Lovers Point Inn
469,Hami,CN,51.67,clear sky,42.8,93.45,Laoyutang Resort
470,Puerto Madryn,AR,58.69,overcast clouds,-42.77,-65.04,Hotel Tolosa
471,Mayo,US,68.0,clear sky,38.89,-76.51,Resorts Resource Group International
480,Rawson,AR,58.82,broken clouds,-43.3,-65.1,Hotel Punta León
484,Chama,CH,52.0,few clouds,47.18,8.46,Hotel & Brasserie Löwen am See
485,Moses Lake,US,53.6,clear sky,47.13,-119.28,Ramada by Wyndham Moses Lake
486,Lata,PT,57.0,clear sky,40.16,-8.33,Casa Maquia
487,Waipawa,NZ,63.0,clear sky,-41.41,175.52,Tora Coastal Walk
490,Along,IN,65.79,clear sky,28.17,94.77,Hotel West
491,Nicoya,CR,77.0,broken clouds,10.15,-85.45,Guayacan Real
495,Phan Thiet,VN,79.75,overcast clouds,10.93,108.1,Hotel Saigon-PT
499,Tanggu,CN,50.0,clear sky,39.02,117.65,Ibis Tianjin Tanggu Hotel
502,Alta Floresta,BR,73.49,light rain,-9.88,-56.09,Floresta Amazonica Hotel
506,Menongue,AO,66.88,overcast clouds,-14.66,17.69,Ritz Lauca
508,Ilhabela,BR,71.02,light rain,-23.78,-45.36,Ilha Flat Hotel
510,Mao,ES,68.0,overcast clouds,39.89,4.27,ARTIEM Capri
511,Bhawana,PK,65.95,clear sky,31.57,72.65,Dera Gujjaran bhawana ڈیرہ گجراں بھوانہ
512,Sindou,BF,79.25,broken clouds,10.67,-5.17,LERABA HOTEL
515,Pacifica,US,66.99,haze,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
516,Broome,US,64.4,overcast clouds,42.25,-75.83,Chenango Valley State Park
517,Beruwala,LK,79.45,moderate rain,6.48,79.98,The Palms Hotel
520,Reconquista,AR,74.26,clear sky,-29.15,-59.65,Grand Hotel
522,Mogadishu,SO,79.65,clear sky,2.04,45.34,Hotel Juba
523,Canico,PT,62.6,light intensity shower rain,32.63,-16.85,Quinta Splendida Wellness & Botanical Garden
524,Sunbury,AU,66.0,broken clouds,-37.58,144.73,Sunbury Motor Inn
526,Ajaccio,FR,51.8,overcast clouds,42.0,8.92,Sole E Monte
528,Mwinilunga,ZM,64.18,overcast clouds,-11.74,24.43,Kwakuwahi Lodge
529,Vryburg,ZA,69.01,clear sky,-26.96,24.73,Times Premier Lodge
530,Eutin,DE,61.0,overcast clouds,54.13,10.62,GreenLine Hotel Seeschloss am Kellersee
538,Tuy Hoa,VN,76.75,moderate rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
539,Burnie,AU,56.5,scattered clouds,-41.07,145.92,Beachfront Voyager Motor Inn
541,Faratsiho,MG,54.36,clear sky,-19.4,46.95,LAVILLA FARATSIHO
542,Mount Gambier,AU,60.8,scattered clouds,-37.83,140.77,Commodore on the Park
544,La Macarena,CO,73.26,moderate rain,2.18,-73.78,AGENCIA DE VIAJES Y TURISMO CRISTALES MACARENA
545,Acarau,BR,79.81,clear sky,-2.89,-40.12,castelo pizzaria
546,Lima,PE,62.6,broken clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
547,Betafo,MG,57.61,clear sky,-19.83,46.85,CHEZ MALALA
548,Jaru,BR,77.22,overcast clouds,-10.44,-62.47,Hotel Paraná
549,Vao,NC,73.6,clear sky,-22.67,167.48,Hotel Kou-Bugny
551,Puliyankudi,IN,76.87,overcast clouds,9.17,77.42,Ayyapuram Eswran Koil St
555,Rocha,UY,55.67,moderate rain,-34.48,-54.33,Beleza Pura B&B
